family,variant,seed,epochs,emp_ratio,frac_cover_from_mu,cert_ratio,dual_quality,cert_gap
BA_m2,pdgnn0,0,95,1.198163605299198,0.0,1.2274279085688247,0.9769583922287459,0.029264303269626847
BA_m2,pdgnn0,1,99,1.198163605299198,0.0,1.2280746568772645,0.9764412580174675,0.029911051578066693
BA_m2,pdgnn0,2,98,1.198163605299198,0.0,1.2279616820288508,0.976537444486776,0.029798076729653032
BA_m2,pdgnn0,3,93,1.198163605299198,0.0,1.2275939227762147,0.9768464894247272,0.029430317477016826
BA_m2,pdgnn0,4,95,1.198163605299198,0.0,1.2287800703132423,0.9759010692135984,0.030616465014044313
BA_m2,plain,0,3,1.198163605299198,0.0,,,
BA_m2,plain,1,3,1.198163605299198,0.0,,,
BA_m2,plain,2,3,1.198163605299198,0.0,,,
BA_m2,plain,3,3,1.198163605299198,0.0,,,
BA_m2,plain,4,3,1.198163605299198,0.0,,,
BA_m3,pdgnn,0,93,1.1380945031411678,0.9986787073785598,1.1509045891783913,0.9965642904935823,0.012810086037223663
BA_m3,pdgnn,1,90,1.3152728548285058,1.0,1.3296797766491106,0.9966706270470702,0.01440692182060493
BA_m3,pdgnn,2,100,1.0842626909528088,0.9954893290390647,1.096471041691037,0.9964119595585952,0.012208350738228216
BA_m3,pdgnn,3,98,1.119621425107523,0.9994155844155845,1.1324201518555814,0.9967993084471332,0.012798726748058398
BA_m3,pdgnn,4,97,1.0994916460512254,0.997309550298316,1.1121572010423608,0.9964568822752321,0.012665554991135499
BA_m3,pdgnn0,0,96,1.195443718787241,0.0,1.275070276215923,0.9425253707276614,0.07962655742868159
BA_m3,pdgnn0,1,98,1.195443718787241,0.0,1.2750241515756238,0.9425654809939676,0.07958043278838255
BA_m3,pdgnn0,2,94,1.195443718787241,0.0,1.2767576470365976,0.9413424360032462,0.08131392824935643
BA_m3,pdgnn0,3,100,1.195443718787241,0.0,1.273928160744826,0.9434041659400332,0.07848444195758489
BA_m3,pdgnn0,4,98,1.195443718787241,0.0,1.2747347566995937,0.9427919851980093,0.07929103791235267
BA_m3,plain,0,3,1.195443718787241,0.0,,,
BA_m3,plain,1,2,1.195443718787241,0.0,,,
BA_m3,plain,2,3,1.195443718787241,0.0,,,
BA_m3,plain,3,3,1.195443718787241,0.0,,,
BA_m3,plain,4,3,1.195443718787241,0.0,,,
